Name,url,team
Yoann Gourcuff,/fr/player/153296/yoann-gourcuff/,Dijon FCO
Christophe Jallet,/fr/player/150590/christophe-jallet/,OGC Nice
Yohann Pelé,/fr/player/107298/yohann-pel%C3%A9/,OM
Ludovic Butelle,/fr/player/49472/ludovic-butelle/,Angers SCO
Malang Sarr,/fr/player/235454/malang-sarr/,OGC Nice
Pedro Rebocho,/fr/player/234930/pedro-rebocho/,EA Guingamp
Valentin Rosier,/fr/player/234730/valentin-rosier/,Dijon FCO
Luiz Araújo,/fr/player/234128/luiz-ara%C3%BAjo/,LOSC
Samuel Grandsir,/fr/player/233550/samuel-grandsir/,AS Monaco
Almamy Touré,/fr/player/227873/almamy-tour%C3%A9/,AS Monaco
Angelo Fulgini,/fr/player/226789/angelo-fulgini/,Angers SCO
Duje Ćaleta-Car,/fr/player/225263/duje-%C4%87aleta-car/,OM
Keagan Dolly,/fr/player/225139/keagan-dolly/,Montpellier HSC
Enzo Crivelli,/fr/player/221740/enzo-crivelli/,SM Caen
Valentín Vada,/fr/player/220609/valent%C3%ADn-vada/,Girondins de BX
Jason Denayer,/fr/player/220182/jason-denayer/,OL
Hamari Traoré,/fr/player/219789/hamari-traor%C3%A9/,Stade Rennais
Flavien Tait,/fr/player/213388/flavien-tait/,Angers SCO
Mateo Pavlović,/fr/player/212449/mateo-pavlovi%C4%87/,Angers SCO
Clinton Njie,/fr/player/212273/clinton-njie/,OM
Corentin Jean,/fr/player/211239/corentin-jean/,Toulouse FC
Edgar Ié,/fr/player/210520/edgar-i%C3%A9/,LOSC
Jordan Ikoko,/fr/player/210394/jordan-ikoko/,EA Guingamp
Stefan Mitrović,/fr/player/209547/stefan-mitrovi%C4%87/,RC Strasbourg
Adrien Thomasson,/fr/player/208787/adrien-thomasson/,RC Strasbourg
Emil Krafth,/fr/player/207650/emil-krafth/,Amiens SC
Adama Soumaoro,/fr/player/200353/adama-soumaoro/,LOSC
Majeed Waris,/fr/player/198420/majeed-waris/,FC Nantes
Suk Hyun Jun,/fr/player/195912/suk-hyun-jun/,Stade de Reims
Timothée Kolodziejczak,/fr/player/190034/timoth%C3%A9e-kolodziejczak/,ASSE
Vincent Manceau,/fr/player/189946/vincent-manceau/,Angers SCO
Khaled Adénon,/fr/player/186567/khaled-ad%C3%A9non/,Amiens SC
Ludovic Baal,/fr/player/177481/ludovic-baal/,Stade Rennais
Daniel Congré,/fr/player/163665/daniel-congr%C3%A9/,Montpellier HSC
Alaixys Romao,/fr/player/159175/alaixys-romao/,Stade de Reims
Étienne Didot,/fr/player/49488/%C3%A9tienne-didot/,EA Guingamp
Nemanja Radonjić,/fr/player/243656/nemanja-radonji%C4%87/,OM
Jules Koundé,/fr/player/241486/jules-kound%C3%A9/,Girondins de BX
Bassem Srarfi,/fr/player/237600/bassem-srarfi/,OGC Nice
Martin Terrier,/fr/player/236786/martin-terrier/,OL
Xeka,/fr/player/236639/xeka/,LOSC
Ibrahim Sangaré,/fr/player/235173/ibrahim-sangar%C3%A9/,Toulouse FC
Bakaye Dibassy,/fr/player/234624/bakaye-dibassy/,Amiens SC
Saman Ghoddos,/fr/player/231949/saman-ghoddos/,Amiens SC
Yann Karamoh,/fr/player/231826/yann-karamoh/,Girondins de BX
Jérémy Gélin,/fr/player/231263/j%C3%A9r%C3%A9my-g%C3%A9lin/,Stade Rennais
